Index;Type; Price ;Area;Location;Property
1;T2;185 000,00 €;104.70;Aveiro;Apartments
10;T3;595 000,00 €;147.50;Aveiro;Apartments
100;T1;150 000,00 €;47.94;Aveiro;Apartments
1000;T2;340 000,00 €;55;Lisboa;Apartments
10000;T2;595 000,00 €;98;Faro;Apartments
10001;T2;395 000,00 €;92.15;Faro;Apartments
10002;T1;350 000,00 €;71.25;Faro;Apartments
10003;T2;520 000,00 €;98;Faro;Apartments
10004;T2;410 000,00 €;108;Lisboa;Apartments
10005;T3;590 000,00 €;84.50;Set??bal;Apartments
10006;T2;510 500,00 €;81;Lisboa;Apartments
10008;T1;410 500,00 €;75;Lisboa;Apartments
1001;T4;407 000,00 €;165;Faro;Apartments
10010;T1;410 500,00 €;75;Lisboa;Apartments
10011;T0;395 000,00 €;77;Lisboa;Apartments
10012;T2;269 000,00 €;78.20;Faro;Apartments
10013;T3;249 000,00 €;160;Porto;Apartments
10014;T3;355 000,00 €;142;Coimbra;Apartments
10015;T4;360 000,00 €;120.40;Porto;Apartments
10016;T3;280 000,00 €;91;Porto;Apartments
10017;T3;306 000,00 €;140;Porto;Apartments
10018;T2;206 000,00 €;82;Porto;Apartments
10019;T3;625 500,00 €;140;Porto;Apartments
1002;T0;189 000,00 €;45;Faro;Apartments
10020;T4;1 600 000,00 €;253;Lisboa;Apartments
10021;T3;440 000,00 €;140;Porto;Apartments
10022;T3;460 000,00 €;145.30;Set??bal;Apartments
10023;T3;450 000,00 €;145.30;Set??bal;Apartments
10024;T3;460 000,00 €;145.30;Set??bal;Apartments
10025;T2; Pre?ßosobconsulta ;92.35;Viseu;Apartments
10026;T3;380 000,00 €;131;Set??bal;Apartments
10027;T0;165 000,00 €;37;Porto;Apartments
10028;T2;740 000,00 €;110;Porto;Apartments
10029;T0;140 000,00 €;36;Porto;Apartments
1003;T2;235 000,00 €;121.30;Coimbra;Apartments
10030;T2;950 000,00 €;92;Lisboa;Apartments
10031;T3;799 000,00 €;180;Lisboa;Apartments
10032;T3;1 399 000,00 €;125;Lisboa;Apartments
10033;T2;500 000,00 €;82;Lisboa;Apartments
10034;T3;525 000,00 €;180;Set??bal;Apartments
10035;T3;435 000,00 €;103;Faro;Apartments
10036;T4;299 000,00 €;150;Lisboa;Apartments
10037;T2;1 195 000,00 €;147.55;Lisboa;Apartments
10038;T2;360 000,00 €;112;Aveiro;Apartments
10039;T3;385 000,00 €;120;Lisboa;Apartments
1004;T3;249 900,00 €;110;Braga;Apartments
10040;T3;390 000,00 €;87;Lisboa;Apartments
10041;T4;535 000,00 €;208.80;Porto;Apartments
10042;T4;840 000,00 €;210;Lisboa;Apartments
10043;T2;435 000,00 €;73.50;Lisboa;Apartments
10044;T3;265 000,00 €;100;Porto;Apartments
10045;T3;370 000,00 €;86.70;Lisboa;Apartments
10046;T1;315 000,00 €;58;Lisboa;Apartments
10049;T2;195 000,00 €;78.74;Set??bal;Apartments
10050;T3;309 750,00 €;140;Braga;Apartments
10051;T3;294 000,00 €;140;Braga;Apartments
10052;T3;299 250,00 €;128;Braga;Apartments
10053;T1;660 000,00 €;84;Faro;Apartments
10054;T2;260 000,00 €;125;Porto;Apartments
10055;T3;359 000,00 €;164;Porto;Apartments
10056;T2;530 000,00 €;102;Lisboa;Apartments
10057;T3;275 000,00 €;116.95;Leiria;Apartments
10058;T2;255 000,00 €;99;Porto;Apartments
10059;T4;515 000,00 €;316;Porto;Apartments
1006;T3;265 000,00 €;124;Lisboa;Apartments
10060;T3;970 000,00 €;171;Lisboa;Apartments
10061;T3;1 189 000,00 €;142;Lisboa;Apartments
10062;T3;1 017 000,00 €;136;Porto;Apartments
10063;T1;198 000,00 €;80;Faro;Apartments
10064;T2;550 000,00 €;92;Porto;Apartments
10065;T4;4 500 000,00 €;245;Faro;Apartments
10066;T2;265 000,00 €;83;Porto;Apartments
10067;T4;497 500,00 €;325.80;Lisboa;Apartments
10068;T4;550 000,00 €;279.36;Lisboa;Apartments
10069;T5;705 000,00 €;310.72;Lisboa;Apartments
1007;T2;175 000,00 €;69;Porto;Apartments
10070;T1;350 000,00 €;56;Porto;Apartments
10071;T3;294 000,00 €;128;Braga;Apartments
10072;T1;250 000,00 €;50;Faro;Apartments
10073;T3;545 000,00 €;102;Porto;Apartments
10074;T3;340 000,00 €;114;Porto;Apartments
10075;T5;2 300 000,00 €;312;Porto;Apartments
10076;T3;1 390 000,00 €;240;Lisboa;Apartments
10077;T2;480 000,00 €;116;Porto;Apartments
10078;T2;140 000,00 €;66;Set??bal;Apartments
1008;T0;259 000,00 €;72;Faro;Apartments
10080;T2;470 000,00 €;129;Ilha da Madeira;Apartments
10081;T2;485 000,00 €;121;Ilha da Madeira;Apartments
10082;T2;435 000,00 €;109;Ilha da Madeira;Apartments
10083;T3;85 000,00 €;102;Vila Real;Apartments
10084;T3;175 000,00 €;96.22;Santar?©m;Apartments
10085;T2;495 000,00 €;94;Lisboa;Apartments
10086;T3;215 000,00 €;132.15;Santar?©m;Apartments
10087;T3;650 000,00 €;128;Porto;Apartments
10088;T3;530 000,00 €;128;Porto;Apartments
10089;T3;470 000,00 €;166;Faro;Apartments
1009;T2;229 000,00 €;68.26;Lisboa;Apartments
10090;T3;323 000,00 €;107;Porto;Apartments
10091;T2;150 000,00 €;78;Santar?©m;Apartments
10092;T5;1 900 000,00 €;275.96;Lisboa;Apartments
10093;T2;247 000,00 €;78;Porto;Apartments
10094;T3;320 000,00 €;107;Porto;Apartments
10096;T3;450 000,00 €;146.20;Lisboa;Apartments
10097;T2;199 900,00 €;64;Set??bal;Apartments
10098;T1;551 250,00 €;118;Lisboa;Apartments
10099;T2;195 000,00 €;49;Faro;Apartments
101;T3;650 000,00 €;130.60;Aveiro;Apartments
1010;T4;99 000,00 €;102;Leiria;Apartments
10100;T2;280 000,00 €;85;Coimbra;Apartments
10101;T2;470 000,00 €;127.30;Porto;Apartments
10102;T4;335 000,00 €;127;Porto;Apartments
10103;T2;510 000,00 €;102;Ilha da Madeira;Apartments
10104;T4;1 100 000,00 €;195;Ilha da Madeira;Apartments
10105;T3;465 000,00 €;96.73;Porto;Apartments
10106;T2;665 500,00 €;115;Porto;Apartments
10107;T4;2 100 000,00 €;250;Porto;Apartments
10108;T2;320 000,00 €;114.50;Porto;Apartments
10109;T1;850 000,00 €;107;Lisboa;Apartments
1011;T2;210 000,00 €;100;Braga;Apartments
10110;T3;294 000,00 €;128;Braga;Apartments
10111;T3;450 000,00 €;136;Porto;Apartments
10112;T4;1 650 000,00 €;258;Porto;Apartments
10113;T3;915 000,00 €;158;Porto;Apartments
10114;T4;910 000,00 €;182.70;Porto;Apartments
